DATE;SOURCE_ID;DESCRIPTION;NET_CREDIT_AMOUNT;NET_DEBIT_AMOUNT;GROSS_AMOUNT;MP_FEE_AMOUNT;TAXES_AMOUNT;PAYMENT_METHOD;TRANSACTION_APPROVAL_DATE;BUSINESS_UNIT;SUB_UNIT;BALANCE_AMOUNT;PAYMENT_METHOD_TYPE;PURCHASE_ID
2026-04-01T12:53:00.000-03:00;152106986725;payment;71568.00;0.00;72000.00;0.00;-432.00;cvu;2026-04-01T12:53:00.000-03:00;;;3449630.62;bank_transfer;
2026-04-01T20:30:49.000-03:00;152918340940;payment;19880.00;0.00;20000.00;0.00;-120.00;available_money;2026-04-01T20:30:49.000-03:00;;;3469510.62;account_money;
2026-04-04T07:49:48.000-03:00;152469822423;payment;99400.00;0.00;100000.00;0.00;-600.00;available_money;2026-04-04T07:49:48.000-03:00;;;3568910.62;account_money;
2026-04-04T08:24:41.000-03:00;152471148193;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-04-04T08:24:41.000-03:00;;;3581832.62;account_money;
2026-04-04T08:31:07.000-03:00;152471375389;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-04-04T08:31:07.000-03:00;;;3588293.62;bank_transfer;
2026-04-04T08:31:55.000-03:00;153212389754;payment;5467.00;0.00;5500.00;0.00;-33.00;available_money;2026-04-04T08:31:55.000-03:00;;;3593760.62;account_money;
2026-04-04T08:35:23.000-03:00;152471479841;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-04-04T08:35:23.000-03:00;;;3606682.62;account_money;
2026-04-04T08:37:25.000-03:00;152471738991;payment;10934.00;0.00;11000.00;0.00;-66.00;available_money;2026-04-04T08:37:25.000-03:00;;;3617616.62;account_money;
2026-04-04T08:53:07.000-03:00;152472486467;payment;3479.00;0.00;3500.00;0.00;-21.00;cvu;2026-04-04T08:53:07.000-03:00;;;3621095.62;bank_transfer;
2026-04-04T08:56:30.000-03:00;153213714784;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-04-04T08:56:30.000-03:00;;;3627556.62;account_money;
2026-04-04T09:02:23.000-03:00;152473674683;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-04-04T09:02:23.000-03:00;;;3634017.62;account_money;
2026-04-04T09:03:25.000-03:00;152473663237;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-04-04T09:03:25.000-03:00;;;3640478.62;bank_transfer;
2026-04-04T09:04:05.000-03:00;152473535931;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-04-04T09:04:05.000-03:00;;;3646939.62;account_money;
2026-04-04T09:12:14.000-03:00;153214800540;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-04-04T09:12:14.000-03:00;;;3659861.62;account_money;
2026-04-04T09:14:50.000-03:00;152474214045;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-04-04T09:14:50.000-03:00;;;3672783.62;account_money;
2026-04-04T09:16:05.000-03:00;152474402697;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-04-04T09:16:05.000-03:00;;;3679244.62;account_money;
2026-04-04T09:20:14.000-03:00;152474595535;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-04-04T09:20:14.000-03:00;;;3685705.62;account_money;
2026-04-04T09:43:54.000-03:00;152476959735;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-04-04T09:43:54.000-03:00;;;3692166.62;account_money;
2026-04-04T09:46:57.000-03:00;152477329287;payment;12922.00;0.00;13000.00;0.00;-78.00;cvu;2026-04-04T09:46:57.000-03:00;;;3705088.62;bank_transfer;
2026-04-04T09:52:30.000-03:00;152477902445;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-04-04T09:52:30.000-03:00;;;3711549.62;account_money;
2026-04-04T09:53:59.000-03:00;153218449504;payment;35784.00;0.00;36000.00;0.00;-216.00;available_money;2026-04-04T09:53:59.000-03:00;;;3747333.62;account_money;
2026-04-04T09:58:50.000-03:00;153219360348;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-04-04T09:58:50.000-03:00;;;3753794.62;bank_transfer;
2026-04-04T10:00:47.000-03:00;153219553028;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-04-04T10:00:47.000-03:00;;;3760255.62;bank_transfer;
2026-04-04T10:01:56.000-03:00;152478655335;payment;19383.00;0.00;19500.00;0.00;-117.00;available_money;2026-04-04T10:01:56.000-03:00;;;3779638.62;account_money;
