DATE;SOURCE_ID;DESCRIPTION;NET_CREDIT_AMOUNT;NET_DEBIT_AMOUNT;GROSS_AMOUNT;MP_FEE_AMOUNT;TAXES_AMOUNT;PAYMENT_METHOD;TRANSACTION_APPROVAL_DATE;BUSINESS_UNIT;SUB_UNIT;BALANCE_AMOUNT;PAYMENT_METHOD_TYPE;PURCHASE_ID
2026-06-01T01:44:30.000-03:00;1744539809419;asset_management;8117.49;0.00;8117.49;0.00;0.00;available_money;2026-06-01T01:44:30.000-03:00;;;2919324.36;;
2026-06-01T07:22:36.000-03:00;161143462883;payment;19383.00;0.00;19500.00;0.00;-117.00;available_money;2026-06-01T07:22:36.000-03:00;;;2938707.36;account_money;
2026-06-02T05:56:14.000-03:00;1744648227215;asset_management;1426.39;0.00;1426.39;0.00;0.00;available_money;2026-06-02T05:56:14.000-03:00;;;2940133.75;;
2026-06-02T08:15:42.000-03:00;162125314644;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T08:15:42.000-03:00;;;2946594.75;account_money;
2026-06-02T08:30:28.000-03:00;162126671878;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T08:30:28.000-03:00;;;2953055.75;account_money;
2026-06-02T09:01:39.000-03:00;161334869153;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-06-02T09:01:39.000-03:00;;;2959516.75;bank_transfer;
2026-06-02T09:26:35.000-03:00;161337840645;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T09:26:35.000-03:00;;;2965977.75;account_money;
2026-06-02T09:49:15.000-03:00;162136172506;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-06-02T09:49:15.000-03:00;;;2978899.75;account_money;
2026-06-02T10:12:00.000-03:00;161343922237;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T10:12:00.000-03:00;;;2985360.75;account_money;
2026-06-02T10:24:56.000-03:00;162141134780;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T10:24:56.000-03:00;;;2991821.75;account_money;
2026-06-02T10:26:04.000-03:00;161345896795;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T10:26:04.000-03:00;;;2998282.75;account_money;
2026-06-02T10:45:51.000-03:00;161348800393;payment;59640.00;0.00;60000.00;0.00;-360.00;available_money;2026-06-02T10:45:51.000-03:00;;;3057922.75;account_money;
2026-06-02T10:51:59.000-03:00;162145134070;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T10:51:59.000-03:00;;;3064383.75;account_money;
2026-06-02T11:02:12.000-03:00;162146663372;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T11:02:12.000-03:00;;;3070844.75;account_money;
2026-06-02T11:04:35.000-03:00;162147131550;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-06-02T11:04:35.000-03:00;;;3077305.75;bank_transfer;
2026-06-02T11:06:32.000-03:00;161351817649;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-06-02T11:06:32.000-03:00;;;3083269.75;account_money;
2026-06-02T11:08:27.000-03:00;161352056055;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T11:08:27.000-03:00;;;3089730.75;account_money;
2026-06-02T11:22:26.000-03:00;162149987234;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-06-02T11:22:26.000-03:00;;;3102652.75;account_money;
2026-06-02T11:24:09.000-03:00;161354689571;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T11:24:09.000-03:00;;;3109113.75;account_money;
2026-06-02T11:31:57.000-03:00;162151729700;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T11:31:57.000-03:00;;;3115574.75;account_money;
2026-06-02T11:32:24.000-03:00;161355873773;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T11:32:24.000-03:00;;;3122035.75;account_money;
2026-06-02T11:44:20.000-03:00;162153659690;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-06-02T11:44:20.000-03:00;;;3128496.75;account_money;
2026-06-02T11:44:37.000-03:00;162153836616;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-06-02T11:44:37.000-03:00;;;3134957.75;bank_transfer;
2026-06-02T11:49:35.000-03:00;162154785312;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-06-02T11:49:35.000-03:00;;;3147879.75;account_money;
2026-06-02T11:54:25.000-03:00;162155603744;payment;6958.00;0.00;7000.00;0.00;-42.00;available_money;2026-06-02T11:54:25.000-03:00;;;3154837.75;account_money;
2026-06-02T12:12:12.000-03:00;162158928738;payment;5964.00;0.00;6000.00;0.00;-36.00;cvu;2026-06-02T12:12:12.000-03:00;;;3160801.75;bank_transfer;
2026-06-02T12:13:57.000-03:00;161363488571;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-06-02T12:13:57.000-03:00;;;3166765.75;account_money;
2026-06-02T12:16:59.000-03:00;161363861645;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-06-02T12:16:59.000-03:00;;;3172729.75;account_money;
2026-06-02T12:17:56.000-03:00;161364131047;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-06-02T12:17:56.000-03:00;;;3178693.75;account_money;
2026-06-02T12:18:42.000-03:00;161364270791;payment;5964.00;0.00;6000.00;0.00;-36.00;cvu;2026-06-02T12:18:42.000-03:00;;;3184657.75;bank_transfer;
2026-06-02T12:18:55.000-03:00;161364223467;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-06-02T12:18:55.000-03:00;;;3190621.75;account_money;
2026-06-02T12:19:17.000-03:00;161364442371;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-06-02T12:19:17.000-03:00;;;3196585.75;account_money;
