DATE;SOURCE_ID;DESCRIPTION;NET_CREDIT_AMOUNT;NET_DEBIT_AMOUNT;GROSS_AMOUNT;MP_FEE_AMOUNT;TAXES_AMOUNT;PAYMENT_METHOD;TRANSACTION_APPROVAL_DATE;BUSINESS_UNIT;SUB_UNIT;BALANCE_AMOUNT;PAYMENT_METHOD_TYPE;PURCHASE_ID
2026-03-01T13:04:05.000-03:00;147660868051;reserve_for_payout;0.00;725527.20;-725527.20;0.00;0.00;available_money;2026-03-01T13:04:05.000-03:00;;;749626.53;;
2026-03-01T13:04:08.000-03:00;147660868051;reserve_for_payout;725527.20;0.00;725527.20;0.00;0.00;available_money;2026-03-01T13:04:08.000-03:00;;;1475153.73;;
2026-03-01T13:04:08.000-03:00;147660868051;payout;0.00;725527.20;-721200.00;0.00;-4327.20;available_money;2026-03-01T13:04:08.000-03:00;;;749626.53;;
2026-03-02T15:18:18.000-03:00;148527898630;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-02T15:18:18.000-03:00;;;756087.53;account_money;
2026-03-02T15:57:55.000-03:00;147820734599;reserve_for_payout;0.00;50000.00;-50000.00;0.00;0.00;available_money;2026-03-02T15:57:55.000-03:00;;;706087.53;;
2026-03-02T15:57:57.000-03:00;147820734599;reserve_for_payout;50000.00;0.00;50000.00;0.00;0.00;available_money;2026-03-02T15:57:57.000-03:00;;;756087.53;;
2026-03-02T15:57:57.000-03:00;147820734599;payout;0.00;50000.00;-50000.00;0.00;0.00;available_money;2026-03-02T15:57:57.000-03:00;;;706087.53;;
2026-03-03T07:25:56.000-03:00;147909363255;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-03T07:25:56.000-03:00;;;712548.53;account_money;
2026-03-03T07:27:32.000-03:00;148622068910;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-03T07:27:32.000-03:00;;;719009.53;account_money;
2026-03-03T07:36:02.000-03:00;148622722142;payment;168980.00;0.00;170000.00;0.00;-1020.00;available_money;2026-03-03T07:36:02.000-03:00;;;887989.53;account_money;
2026-03-03T08:16:36.000-03:00;148625914700;payment;26838.00;0.00;27000.00;0.00;-162.00;available_money;2026-03-03T08:16:36.000-03:00;;;914827.53;account_money;
2026-03-03T08:24:06.000-03:00;148626470320;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-03T08:24:06.000-03:00;;;921288.53;account_money;
2026-03-03T08:25:42.000-03:00;147914254395;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-03T08:25:42.000-03:00;;;927749.53;account_money;
2026-03-03T08:32:24.000-03:00;148627800132;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-03T08:32:24.000-03:00;;;934210.53;account_money;
2026-03-03T08:56:42.000-03:00;147917243563;payment;11928.00;0.00;12000.00;0.00;-72.00;cvu;2026-03-03T08:56:42.000-03:00;;;946138.53;bank_transfer;
2026-03-03T09:27:08.000-03:00;147920750949;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-03T09:27:08.000-03:00;;;958066.53;account_money;
2026-03-03T09:46:44.000-03:00;148635664518;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T09:46:44.000-03:00;;;964030.53;account_money;
2026-03-03T09:50:51.000-03:00;148636012394;payment;11928.00;0.00;12000.00;0.00;-72.00;debin_transfer;2026-03-03T09:50:51.000-03:00;;;975958.53;bank_transfer;
2026-03-03T09:56:04.000-03:00;147924196939;payment;5964.00;0.00;6000.00;0.00;-36.00;cvu;2026-03-03T09:56:04.000-03:00;;;981922.53;bank_transfer;
2026-03-03T09:57:33.000-03:00;148637424130;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T09:57:33.000-03:00;;;987886.53;account_money;
2026-03-03T10:05:10.000-03:00;148638027920;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T10:05:10.000-03:00;;;993850.53;account_money;
2026-03-03T10:13:07.000-03:00;148639022692;payment;16401.00;0.00;16500.00;0.00;-99.00;available_money;2026-03-03T10:13:07.000-03:00;;;1010251.53;account_money;
2026-03-03T10:43:25.000-03:00;147930716019;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T10:43:25.000-03:00;;;1016215.53;account_money;
2026-03-03T10:48:31.000-03:00;147931245837;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T10:48:31.000-03:00;;;1022179.53;account_money;
2026-03-03T11:10:09.000-03:00;147934597455;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T11:10:09.000-03:00;;;1028143.53;account_money;
2026-03-03T11:11:08.000-03:00;148647255618;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T11:11:08.000-03:00;;;1034107.53;account_money;
2026-03-03T11:11:25.000-03:00;148647331730;payment;5964.00;0.00;6000.00;0.00;-36.00;cvu;2026-03-03T11:11:25.000-03:00;;;1040071.53;bank_transfer;
2026-03-03T11:19:17.000-03:00;147935662953;payment;3479.00;0.00;3500.00;0.00;-21.00;available_money;2026-03-03T11:19:17.000-03:00;;;1043550.53;account_money;
2026-03-03T11:35:04.000-03:00;147938397267;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T11:35:04.000-03:00;;;1049514.53;account_money;
2026-03-03T11:36:18.000-03:00;148651572866;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-03T11:36:18.000-03:00;;;1061442.53;account_money;
2026-03-03T11:38:53.000-03:00;147938801945;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T11:38:53.000-03:00;;;1067406.53;account_money;
2026-03-03T11:40:23.000-03:00;147939096309;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T11:40:23.000-03:00;;;1073370.53;account_money;
2026-03-03T11:54:07.000-03:00;148653834216;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-03T11:54:07.000-03:00;;;1085298.53;account_money;
2026-03-03T12:02:09.000-03:00;148655302766;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-03T12:02:09.000-03:00;;;1097226.53;account_money;
2026-03-03T12:09:27.000-03:00;148656313126;payment;5964.00;0.00;6000.00;0.00;-36.00;cvu;2026-03-03T12:09:27.000-03:00;;;1103190.53;bank_transfer;
2026-03-03T12:22:23.000-03:00;148658054170;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T12:22:23.000-03:00;;;1109154.53;account_money;
2026-03-03T12:54:51.000-03:00;147950442755;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-03T12:54:51.000-03:00;;;1121082.53;account_money;
2026-03-03T13:00:16.000-03:00;148664049556;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-03T13:00:16.000-03:00;;;1127046.53;account_money;
2026-03-03T13:14:32.000-03:00;147953361107;payment;49700.00;0.00;50000.00;0.00;-300.00;available_money;2026-03-03T13:14:32.000-03:00;;;1176746.53;account_money;
2026-03-04T11:19:47.000-03:00;148799660998;reserve_for_payout;0.00;503000.00;-503000.00;0.00;0.00;available_money;2026-03-04T11:19:47.000-03:00;;;673746.53;;
2026-03-04T11:19:49.000-03:00;148799660998;reserve_for_payout;503000.00;0.00;503000.00;0.00;0.00;available_money;2026-03-04T11:19:49.000-03:00;;;1176746.53;;
2026-03-04T11:19:49.000-03:00;148799660998;payout;0.00;503000.00;-500000.00;0.00;-3000.00;available_money;2026-03-04T11:19:49.000-03:00;;;673746.53;;
2026-03-04T11:42:02.000-03:00;148089723853;payment;322056.00;0.00;324000.00;0.00;-1944.00;available_money;2026-03-04T11:42:02.000-03:00;;;995802.53;account_money;
2026-03-04T11:45:41.000-03:00;148089073417;reserve_for_payout;0.00;172169.25;-172169.25;0.00;0.00;available_money;2026-03-04T11:45:41.000-03:00;;;823633.28;;
2026-03-04T11:45:43.000-03:00;148089073417;reserve_for_payout;172169.25;0.00;172169.25;0.00;0.00;available_money;2026-03-04T11:45:43.000-03:00;;;995802.53;;
2026-03-04T11:45:43.000-03:00;148089073417;payout;0.00;172169.25;-171142.40;0.00;-1026.85;available_money;2026-03-04T11:45:43.000-03:00;;;823633.28;;
2026-03-05T10:15:46.000-03:00;148943657166;payment;6958.00;0.00;7000.00;0.00;-42.00;available_money;2026-03-05T10:15:46.000-03:00;;;830591.28;account_money;
2026-03-05T11:28:47.000-03:00;148239718721;reserve_for_payout;0.00;368447.50;-368447.50;0.00;0.00;available_money;2026-03-05T11:28:47.000-03:00;;;462143.78;;
2026-03-05T11:28:48.000-03:00;148239718721;reserve_for_payout;368447.50;0.00;368447.50;0.00;0.00;available_money;2026-03-05T11:28:48.000-03:00;;;830591.28;;
2026-03-05T11:28:48.000-03:00;148239718721;payout;0.00;368447.50;-366250.00;0.00;-2197.50;available_money;2026-03-05T11:28:48.000-03:00;;;462143.78;;
2026-03-05T12:27:31.000-03:00;148249213827;payment;6958.00;0.00;7000.00;0.00;-42.00;available_money;2026-03-05T12:27:31.000-03:00;;;469101.78;account_money;
2026-03-05T15:20:08.000-03:00;148273723563;payment;515886.00;0.00;519000.00;0.00;-3114.00;available_money;2026-03-05T15:20:08.000-03:00;;;984987.78;account_money;
2026-03-05T16:02:32.000-03:00;148993143342;reserve_for_payout;0.00;544934.40;-544934.40;0.00;0.00;available_money;2026-03-05T16:02:32.000-03:00;;;440053.38;;
2026-03-05T16:02:35.000-03:00;148993143342;reserve_for_payout;544934.40;0.00;544934.40;0.00;0.00;available_money;2026-03-05T16:02:35.000-03:00;;;984987.78;;
2026-03-05T16:02:35.000-03:00;148993143342;payout;0.00;544934.40;-541684.29;0.00;-3250.11;available_money;2026-03-05T16:02:35.000-03:00;;;440053.38;;
2026-03-05T16:44:33.000-03:00;148285076603;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-03-05T16:44:33.000-03:00;;;452975.38;account_money;
2026-03-07T07:47:32.000-03:00;148540458875;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T07:47:32.000-03:00;;;458939.38;account_money;
2026-03-07T08:10:59.000-03:00;149257887928;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T08:10:59.000-03:00;;;465400.38;account_money;
2026-03-07T08:15:01.000-03:00;148541911827;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T08:15:01.000-03:00;;;471861.38;account_money;
2026-03-07T08:30:37.000-03:00;149259151758;payment;12922.00;0.00;13000.00;0.00;-78.00;debin_transfer;2026-03-07T08:30:37.000-03:00;;;484783.38;bank_transfer;
2026-03-07T08:34:26.000-03:00;148543255523;payment;11928.00;0.00;12000.00;0.00;-72.00;cvu;2026-03-07T08:34:26.000-03:00;;;496711.38;bank_transfer;
2026-03-07T08:37:51.000-03:00;148543481005;payment;23856.00;0.00;24000.00;0.00;-144.00;available_money;2026-03-07T08:37:51.000-03:00;;;520567.38;account_money;
2026-03-07T08:43:01.000-03:00;148543884909;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T08:43:01.000-03:00;;;526531.38;account_money;
2026-03-07T08:45:31.000-03:00;149260323570;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T08:45:31.000-03:00;;;532992.38;account_money;
2026-03-07T08:49:01.000-03:00;149260606868;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T08:49:01.000-03:00;;;539453.38;account_money;
2026-03-07T08:55:17.000-03:00;148544904571;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T08:55:17.000-03:00;;;545914.38;account_money;
2026-03-07T08:58:47.000-03:00;149261488128;payment;3479.00;0.00;3500.00;0.00;-21.00;cvu;2026-03-07T08:58:47.000-03:00;;;549393.38;bank_transfer;
2026-03-07T09:01:30.000-03:00;149261696210;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T09:01:30.000-03:00;;;555854.38;account_money;
2026-03-07T09:05:03.000-03:00;149261962522;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-07T09:05:03.000-03:00;;;567782.38;account_money;
2026-03-07T09:11:09.000-03:00;149262410016;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T09:11:09.000-03:00;;;574243.38;account_money;
2026-03-07T09:11:17.000-03:00;148546285491;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T09:11:17.000-03:00;;;580207.38;account_money;
2026-03-07T09:11:27.000-03:00;149262485396;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-03-07T09:11:27.000-03:00;;;586668.38;bank_transfer;
2026-03-07T09:14:11.000-03:00;149262705434;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T09:14:11.000-03:00;;;593129.38;account_money;
2026-03-07T09:15:57.000-03:00;148546764503;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-03-07T09:15:57.000-03:00;;;606051.38;account_money;
2026-03-07T09:16:08.000-03:00;149262835438;payment;5467.00;0.00;5500.00;0.00;-33.00;available_money;2026-03-07T09:16:08.000-03:00;;;611518.38;account_money;
2026-03-07T09:16:19.000-03:00;149262853354;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-03-07T09:16:19.000-03:00;;;624440.38;account_money;
2026-03-07T09:16:45.000-03:00;149262980674;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T09:16:45.000-03:00;;;630404.38;account_money;
2026-03-07T09:17:34.000-03:00;149262946016;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-03-07T09:17:34.000-03:00;;;636865.38;bank_transfer;
2026-03-07T09:22:19.000-03:00;149263618746;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T09:22:19.000-03:00;;;643326.38;account_money;
2026-03-07T09:23:16.000-03:00;148547402865;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-07T09:23:16.000-03:00;;;655254.38;account_money;
2026-03-07T09:24:44.000-03:00;148547536947;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-07T09:24:44.000-03:00;;;667182.38;account_money;
2026-03-07T09:25:15.000-03:00;149263963502;payment;25844.00;0.00;26000.00;0.00;-156.00;available_money;2026-03-07T09:25:15.000-03:00;;;693026.38;account_money;
2026-03-07T09:25:44.000-03:00;148547573665;payment;5467.00;0.00;5500.00;0.00;-33.00;available_money;2026-03-07T09:25:44.000-03:00;;;698493.38;account_money;
2026-03-07T09:27:37.000-03:00;148547799371;payment;25844.00;0.00;26000.00;0.00;-156.00;available_money;2026-03-07T09:27:37.000-03:00;;;724337.38;account_money;
2026-03-07T09:28:34.000-03:00;149264348642;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-03-07T09:28:34.000-03:00;;;730798.38;account_money;
2026-03-07T09:29:00.000-03:00;148547993609;payment;3479.00;0.00;3500.00;0.00;-21.00;available_money;2026-03-07T09:29:00.000-03:00;;;734277.38;account_money;
2026-03-07T09:30:33.000-03:00;148548292241;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T09:30:33.000-03:00;;;740241.38;account_money;
2026-03-07T09:34:12.000-03:00;148548677205;payment;16401.00;0.00;16500.00;0.00;-99.00;available_money;2026-03-07T09:34:12.000-03:00;;;756642.38;account_money;
2026-03-07T09:38:53.000-03:00;149265433038;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T09:38:53.000-03:00;;;762606.38;account_money;
2026-03-07T09:40:52.000-03:00;148549314001;payment;5467.00;0.00;5500.00;0.00;-33.00;available_money;2026-03-07T09:40:52.000-03:00;;;768073.38;account_money;
2026-03-07T09:42:46.000-03:00;149265844994;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T09:42:46.000-03:00;;;774037.38;account_money;
2026-03-07T09:43:25.000-03:00;149265935230;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-07T09:43:25.000-03:00;;;785965.38;account_money;
2026-03-07T09:44:20.000-03:00;148549722705;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-03-07T09:44:20.000-03:00;;;791929.38;account_money;
2026-03-07T09:45:51.000-03:00;149266334212;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-03-07T09:45:51.000-03:00;;;803857.38;account_money;
2026-03-07T09:47:51.000-03:00;148550115311;payment;17892.00;0.00;18000.00;0.00;-108.00;available_money;2026-03-07T09:47:51.000-03:00;;;821749.38;account_money;
