DATE;SOURCE_ID;DESCRIPTION;NET_CREDIT_AMOUNT;NET_DEBIT_AMOUNT;GROSS_AMOUNT;MP_FEE_AMOUNT;TAXES_AMOUNT;PAYMENT_METHOD;TRANSACTION_APPROVAL_DATE;BUSINESS_UNIT;SUB_UNIT;BALANCE_AMOUNT;PAYMENT_METHOD_TYPE;PURCHASE_ID
2026-05-01T12:58:24.000-03:00;156491956503;reserve_for_payout;0.00;100000.00;-100000.00;0.00;0.00;available_money;2026-05-01T12:58:24.000-03:00;;;2363349.92;;
2026-05-01T12:58:26.000-03:00;156491956503;reserve_for_payout;100000.00;0.00;100000.00;0.00;0.00;available_money;2026-05-01T12:58:26.000-03:00;;;2463349.92;;
2026-05-01T12:58:26.000-03:00;156491956503;payout;0.00;100000.00;-100000.00;0.00;0.00;available_money;2026-05-01T12:58:26.000-03:00;;;2363349.92;;
2026-05-01T13:07:26.000-03:00;157258086974;payment;21868.00;0.00;22000.00;0.00;-132.00;available_money;2026-05-01T13:07:26.000-03:00;;;2385217.92;account_money;
2026-05-01T21:46:46.000-03:00;156559927639;payment;131208.00;0.00;132000.00;0.00;-792.00;available_money;2026-05-01T21:46:46.000-03:00;;;2516425.92;account_money;
2026-05-02T08:13:32.000-03:00;157353680230;payment;89460.00;0.00;90000.00;0.00;-540.00;available_money;2026-05-02T08:13:32.000-03:00;;;2605885.92;account_money;
2026-05-02T08:30:31.000-03:00;156589765047;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T08:30:31.000-03:00;;;2612346.92;account_money;
2026-05-02T08:36:44.000-03:00;156590061189;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T08:36:44.000-03:00;;;2625268.92;account_money;
2026-05-02T08:44:02.000-03:00;157355410732;payment;3479.00;0.00;3500.00;0.00;-21.00;available_money;2026-05-02T08:44:02.000-03:00;;;2628747.92;account_money;
2026-05-02T08:55:44.000-03:00;157356105566;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T08:55:44.000-03:00;;;2641669.92;account_money;
2026-05-02T09:02:55.000-03:00;157356649762;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-05-02T09:02:55.000-03:00;;;2648130.92;bank_transfer;
2026-05-02T09:03:42.000-03:00;156591825741;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:03:42.000-03:00;;;2661052.92;account_money;
2026-05-02T09:06:14.000-03:00;156591996081;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:06:14.000-03:00;;;2673974.92;account_money;
2026-05-02T09:09:27.000-03:00;156592423177;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:09:27.000-03:00;;;2680435.92;account_money;
2026-05-02T09:09:39.000-03:00;157357177298;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:09:39.000-03:00;;;2686896.92;account_money;
2026-05-02T09:10:21.000-03:00;157357258774;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:10:21.000-03:00;;;2693357.92;account_money;
2026-05-02T09:10:31.000-03:00;156592499147;payment;29820.00;0.00;30000.00;0.00;-180.00;available_money;2026-05-02T09:10:31.000-03:00;;;2723177.92;account_money;
2026-05-02T09:12:45.000-03:00;156592686995;payment;12922.00;0.00;13000.00;0.00;-78.00;debin_transfer;2026-05-02T09:12:45.000-03:00;;;2736099.92;bank_transfer;
2026-05-02T09:13:01.000-03:00;157357494144;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:13:01.000-03:00;;;2742560.92;account_money;
2026-05-02T09:15:12.000-03:00;157357660574;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-05-02T09:15:12.000-03:00;;;2749021.92;bank_transfer;
2026-05-02T09:15:21.000-03:00;157357567618;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:15:21.000-03:00;;;2755482.92;account_money;
2026-05-02T09:17:17.000-03:00;156593086281;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:17:17.000-03:00;;;2761943.92;account_money;
2026-05-02T09:17:27.000-03:00;156593106115;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T09:17:27.000-03:00;;;2767907.92;account_money;
2026-05-02T09:17:30.000-03:00;156592989831;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:17:30.000-03:00;;;2780829.92;account_money;
2026-05-02T09:19:51.000-03:00;157358154348;payment;12922.00;0.00;13000.00;0.00;-78.00;cvu;2026-05-02T09:19:51.000-03:00;;;2793751.92;bank_transfer;
2026-05-02T09:23:15.000-03:00;157358401154;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:23:15.000-03:00;;;2806673.92;account_money;
2026-05-02T09:24:17.000-03:00;156593676157;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:24:17.000-03:00;;;2813134.92;account_money;
2026-05-02T09:25:48.000-03:00;156593772939;payment;6461.00;0.00;6500.00;0.00;-39.00;master;2026-05-02T09:25:48.000-03:00;;;2819595.92;credit_card;
2026-05-02T09:27:24.000-03:00;156593943259;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:27:24.000-03:00;;;2832517.92;account_money;
2026-05-02T09:30:45.000-03:00;157359047910;payment;19383.00;0.00;19500.00;0.00;-117.00;available_money;2026-05-02T09:30:45.000-03:00;;;2851900.92;account_money;
2026-05-02T09:31:12.000-03:00;157359176398;payment;12922.00;0.00;13000.00;0.00;-78.00;cvu;2026-05-02T09:31:12.000-03:00;;;2864822.92;bank_transfer;
2026-05-02T09:32:21.000-03:00;157359213512;payment;6461.00;0.00;6500.00;0.00;-39.00;cvu;2026-05-02T09:32:21.000-03:00;;;2871283.92;bank_transfer;
2026-05-02T09:43:21.000-03:00;156595431525;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:43:21.000-03:00;;;2884205.92;account_money;
2026-05-02T09:45:01.000-03:00;157360508910;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:45:01.000-03:00;;;2890666.92;account_money;
2026-05-02T09:45:26.000-03:00;156595776635;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:45:26.000-03:00;;;2903588.92;account_money;
2026-05-02T09:45:47.000-03:00;157360535474;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:45:47.000-03:00;;;2910049.92;account_money;
2026-05-02T09:46:08.000-03:00;156595797463;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:46:08.000-03:00;;;2916510.92;account_money;
2026-05-02T09:46:53.000-03:00;157360641266;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:46:53.000-03:00;;;2922971.92;account_money;
2026-05-02T09:47:45.000-03:00;157360733188;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:47:45.000-03:00;;;2929432.92;account_money;
2026-05-02T09:47:56.000-03:00;157360703810;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:47:56.000-03:00;;;2942354.92;account_money;
2026-05-02T09:48:31.000-03:00;156596118385;payment;35784.00;0.00;36000.00;0.00;-216.00;available_money;2026-05-02T09:48:31.000-03:00;;;2978138.92;account_money;
2026-05-02T09:49:40.000-03:00;157360876054;payment;12922.00;0.00;13000.00;0.00;-78.00;debin_transfer;2026-05-02T09:49:40.000-03:00;;;2991060.92;bank_transfer;
2026-05-02T09:52:16.000-03:00;156596421417;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:52:16.000-03:00;;;3003982.92;account_money;
2026-05-02T09:54:13.000-03:00;157361465530;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:54:13.000-03:00;;;3016904.92;account_money;
2026-05-02T09:56:50.000-03:00;157361824874;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T09:56:50.000-03:00;;;3029826.92;account_money;
2026-05-02T09:58:26.000-03:00;157361909980;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T09:58:26.000-03:00;;;3036287.92;account_money;
2026-05-02T10:02:20.000-03:00;157362315844;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T10:02:20.000-03:00;;;3049209.92;account_money;
2026-05-02T10:03:19.000-03:00;157362419586;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T10:03:19.000-03:00;;;3055670.92;account_money;
2026-05-02T10:04:52.000-03:00;156597898425;payment;19383.00;0.00;19500.00;0.00;-117.00;available_money;2026-05-02T10:04:52.000-03:00;;;3075053.92;account_money;
2026-05-02T10:06:01.000-03:00;157362806216;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T10:06:01.000-03:00;;;3087975.92;account_money;
2026-05-02T10:12:20.000-03:00;157363561716;payment;12922.00;0.00;13000.00;0.00;-78.00;available_money;2026-05-02T10:12:20.000-03:00;;;3100897.92;account_money;
2026-05-02T10:13:37.000-03:00;157363796756;payment;17892.00;0.00;18000.00;0.00;-108.00;available_money;2026-05-02T10:13:37.000-03:00;;;3118789.92;account_money;
2026-05-02T10:14:39.000-03:00;156598903479;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:14:39.000-03:00;;;3124753.92;account_money;
2026-05-02T10:15:26.000-03:00;156599021433;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T10:15:26.000-03:00;;;3131214.92;account_money;
2026-05-02T10:17:33.000-03:00;157364237182;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:17:33.000-03:00;;;3137178.92;account_money;
2026-05-02T10:17:35.000-03:00;157364260884;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:17:35.000-03:00;;;3143142.92;account_money;
2026-05-02T10:19:49.000-03:00;157364429902;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:19:49.000-03:00;;;3149106.92;account_money;
2026-05-02T10:21:28.000-03:00;157364625676;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T10:21:28.000-03:00;;;3155567.92;account_money;
2026-05-02T10:21:54.000-03:00;157364691356;payment;6461.00;0.00;6500.00;0.00;-39.00;available_money;2026-05-02T10:21:54.000-03:00;;;3162028.92;account_money;
2026-05-02T10:22:04.000-03:00;157364782298;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:22:04.000-03:00;;;3167992.92;account_money;
2026-05-02T10:23:48.000-03:00;156600171009;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:23:48.000-03:00;;;3173956.92;account_money;
2026-05-02T10:25:10.000-03:00;157365176916;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:25:10.000-03:00;;;3179920.92;account_money;
2026-05-02T10:25:57.000-03:00;156600430791;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:25:57.000-03:00;;;3185884.92;account_money;
2026-05-02T10:27:25.000-03:00;156600531965;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:27:25.000-03:00;;;3191848.92;account_money;
2026-05-02T10:28:38.000-03:00;157365782264;payment;17892.00;0.00;18000.00;0.00;-108.00;cvu;2026-05-02T10:28:38.000-03:00;;;3209740.92;bank_transfer;
2026-05-02T10:29:47.000-03:00;156600762087;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:29:47.000-03:00;;;3215704.92;account_money;
2026-05-02T10:29:57.000-03:00;156600892457;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:29:57.000-03:00;;;3221668.92;account_money;
2026-05-02T10:32:23.000-03:00;156601192917;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-05-02T10:32:23.000-03:00;;;3233596.92;account_money;
2026-05-02T10:33:01.000-03:00;156601229427;payment;5964.00;0.00;6000.00;0.00;-36.00;cvu;2026-05-02T10:33:01.000-03:00;;;3239560.92;bank_transfer;
2026-05-02T10:33:20.000-03:00;156601269537;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-05-02T10:33:20.000-03:00;;;3251488.92;account_money;
2026-05-02T10:33:25.000-03:00;156601238073;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:33:25.000-03:00;;;3257452.92;account_money;
2026-05-02T10:35:42.000-03:00;157366694456;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:35:42.000-03:00;;;3263416.92;account_money;
2026-05-02T10:36:06.000-03:00;156601752201;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-05-02T10:36:06.000-03:00;;;3275344.92;account_money;
2026-05-02T10:36:43.000-03:00;156601786869;payment;17892.00;0.00;18000.00;0.00;-108.00;available_money;2026-05-02T10:36:43.000-03:00;;;3293236.92;account_money;
2026-05-02T10:37:03.000-03:00;156601748011;payment;5964.00;0.00;6000.00;0.00;-36.00;cvu;2026-05-02T10:37:03.000-03:00;;;3299200.92;bank_transfer;
2026-05-02T10:38:17.000-03:00;156602022749;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:38:17.000-03:00;;;3305164.92;account_money;
2026-05-02T10:38:40.000-03:00;157367002412;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:38:40.000-03:00;;;3311128.92;account_money;
2026-05-02T10:39:15.000-03:00;156602075909;payment;5964.00;0.00;6000.00;0.00;-36.00;available_money;2026-05-02T10:39:15.000-03:00;;;3317092.92;account_money;
2026-05-02T10:39:23.000-03:00;156602183189;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-05-02T10:39:23.000-03:00;;;3329020.92;account_money;
2026-05-02T10:40:23.000-03:00;157367196630;payment;11928.00;0.00;12000.00;0.00;-72.00;available_money;2026-05-02T10:40:23.000-03:00;;;3340948.92;account_money;
2026-05-02T10:41:11.000-03:00;157367266726;payment;5964.00;0.00;6000.00;0.00;-36.00;debin_transfer;2026-05-02T10:41:11.000-03:00;;;3346912.92;bank_transfer;
